Date,Open,High,Low,Close
9/13/2020,387.52,388.96,354.34,365.57
9/14/2020,365.70,384.49,357.57,377.27
9/15/2020,377.15,381.51,363.61,364.84
9/16/2020,364.74,372.77,356.68,365.81
9/17/2020,365.87,393.90,364.80,389.02
9/18/2020,389.34,391.90,376.96,384.36
9/19/2020,384.04,387.08,378.72,385.54
9/20/2020,385.60,385.60,367.09,371.05
9/21/2020,371.40,375.74,336.07,341.79
9/22/2020,341.72,346.60,336.86,344.50
9/23/2020,344.59,344.67,318.97,321.12
9/24/2020,320.99,351.46,318.55,349.36
9/25/2020,349.41,357.77,339.02,352.18
9/26/2020,352.35,355.85,348.11,355.49
9/27/2020,354.96,361.98,349.83,357.44
9/28/2020,357.93,366.43,354.55,355.16
9/29/2020,354.36,360.35,352.15,359.76
9/30/2020,360.04,361.18,353.33,359.94
10/1/2020,360.31,369.26,346.48,353.21
10/2/2020,352.95,354.12,336.47,346.24
10/3/2020,346.22,351.31,344.67,346.52
10/4/2020,346.60,354.05,345.13,352.58
10/5/2020,352.74,355.21,349.68,353.96
10/6/2020,353.96,354.99,338.00,340.82
10/7/2020,340.94,342.45,334.55,341.81
10/8/2020,342.04,352.21,335.65,350.77
10/9/2020,351.11,368.31,348.21,365.59
10/10/2020,365.40,378.27,365.35,370.97
10/11/2020,370.93,377.25,369.83,375.14
10/12/2020,374.80,395.12,366.64,387.73
10/13/2020,387.14,387.38,375.58,381.19
10/14/2020,381.97,387.30,374.18,379.48
10/15/2020,379.19,381.21,371.35,377.44
10/16/2020,377.87,380.02,362.60,366.23
10/17/2020,366.02,369.77,364.49,368.86
10/18/2020,368.73,378.60,368.13,378.21
10/19/2020,378.47,383.32,373.70,379.94
10/20/2020,379.72,380.76,367.60,369.14
10/21/2020,369.06,400.63,368.73,392.19
10/22/2020,391.49,420.14,391.28,413.77
10/23/2020,414.05,418.96,403.08,409.77
10/24/2020,409.77,416.60,407.85,412.46
10/25/2020,412.46,417.16,405.35,406.22
10/26/2020,406.22,411.28,383.78,393.89
10/27/2020,393.89,409.77,390.61,404.00
10/28/2020,404.00,408.96,381.15,388.65
10/29/2020,388.65,393.23,381.29,386.73
10/30/2020,386.73,391.46,375.09,382.82
10/31/2020,382.82,393.01,381.30,386.59
11/1/2020,386.59,397.12,385.17,396.36
11/2/2020,396.36,403.24,381.02,383.16
11/3/2020,383.16,389.52,371.31,387.60
11/4/2020,387.60,407.67,377.83,402.14
11/5/2020,402.14,417.53,397.25,414.07
11/6/2020,414.07,456.20,412.98,454.72
11/7/2020,454.72,465.68,428.46,435.71
11/8/2020,435.72,457.78,433.15,453.55
11/9/2020,453.57,457.35,435.16,444.16
11/10/2020,444.17,453.76,439.60,449.68
11/11/2020,449.68,473.58,449.52,462.96
11/12/2020,462.96,467.68,452.07,461.01
11/13/2020,461.01,475.22,457.30,474.63
11/14/2020,474.63,475.16,452.99,460.15
11/15/2020,460.15,460.99,440.25,447.56
11/16/2020,447.56,463.83,445.50,459.94
11/17/2020,464.41,482.23,460.78,480.36
11/18/2020,480.35,492.00,465.83,479.48
11/19/2020,479.48,480.12,465.70,471.63
11/20/2020,471.63,513.61,471.63,509.74
11/21/2020,509.74,550.23,504.24,549.49
11/22/2020,549.49,579.37,514.52,558.07
11/23/2020,558.06,609.99,551.27,608.45
11/24/2020,608.52,621.17,593.84,603.90
11/25/2020,603.90,605.09,559.67,570.69
11/26/2020,570.51,575.64,485.50,518.80
11/27/2020,519.11,530.78,497.24,517.49
11/28/2020,517.60,548.04,508.13,538.23
11/29/2020,538.26,576.60,531.99,575.76
11/30/2020,575.76,615.24,571.54,614.84
12/1/2020,615.07,635.16,571.75,587.32
12/2/2020,587.26,604.02,578.74,598.35
12/3/2020,598.46,622.45,588.35,616.71
12/4/2020,616.72,618.98,569.28,569.35
12/5/2020,569.35,596.60,563.11,596.60
